term,word,score,
건하다,adjective,0.0242 ,
걷다,adjective,0.6287 ,
걷어내다,adjective,-0.0421 ,
걷어붙이다,adjective,-0.0221 ,
걷어차다,adjective,-0.0453 ,
걷잡다,adjective,0.0920 ,
걷히다,adjective,0.0436 ,
걸다,adjective,-0.1159 ,
걸려들다,adjective,-0.0789 ,
걸리다,adjective,-0.3817 ,
걸리적거리다,adjective,-0.0116 ,
걸맞다,adjective,-0.0440 ,
걸신들리다,adjective,-0.0421 ,
걸어가다,adjective,0.0795 ,
걸어다니다,adjective,0.1126 ,
걸어오다,adjective,0.0323 ,
걸죽하다,adjective,-0.0421 ,
걸지다,adjective,-0.0600 ,
걸치다,adjective,-0.1472 ,
걸터앉다,adjective,0.0157 ,
검다,adjective,0.1456 ,
검붉다,adjective,-0.0116 ,
검푸르다,adjective,-0.0116 ,
겁나다,adjective,-0.0155 ,
겁내다,adjective,0.0981 ,
겁먹다,adjective,-0.0139 ,
겁주다,adjective,0.0242 ,
겉다,adjective,-0.0674 ,
겉돌다,adjective,-0.0200 ,
겉잡다,adjective,0.0182 ,
겉핥다,adjective,-0.0271 ,
게다,adjective,-0.0189 ,
게르다,adjective,0.0182 ,
게우다,adjective,-0.0147 ,
게으르다,adjective,-0.0320 ,
게을르다,adjective,0.0242 ,
겨누다,adjective,0.0799 ,
겨루다,adjective,0.0944 ,
겨울나다,adjective,0.0847 ,
겨워하다,adjective,-0.0421 ,
격다,adjective,-0.0937 ,
격하다,adjective,-0.0211 ,
겪다,adjective,0.7295 ,
견디다,adjective,0.1807 ,
견주다,adjective,-0.0117 ,
겯다,adjective,-0.0758 ,
결론짓다,adjective,-0.0674 ,
결리다,adjective,0.0533 ,
결말짓다,adjective,-0.0421 ,
결정짓다,adjective,0.0165 ,
결하다,adjective,-0.0421 ,
겸다,adjective,-0.0737 ,
겸연쩍다,adjective,0.0605 ,
겸하다,adjective,0.0896 ,
겹다,adjective,-0.0758 ,
겹쳐지다,adjective,0.0127 ,
겹치다,adjective,-0.0621 ,
경사지다,adjective,0.0605 ,
경이롭다,adjective,0.0872 ,
경치다,adjective,-0.0737 ,
곁들다,adjective,0.0678 ,
곁들이다,adjective,0.0567 ,
계기다,adjective,-0.0136 ,
계다,adjective,0.0968 ,
계시다,adjective,0.2140 ,
고깝다,adjective,-0.0421 ,
고꾸라지다,adjective,-0.0116 ,
고다,adjective,-0.0789 ,
고달프다,adjective,0.0184 ,
고동치다,adjective,-0.0116 ,
고되다,adjective,-0.0221 ,
고렇다,adjective,0.0363 ,
고레에다,adjective,-0.0737 ,
고루다,adjective,0.0242 ,
고르다,adjective,-0.2687 ,
고리다,adjective,0.0194 ,
고만두다,adjective,0.0242 ,
고맙다,adjective,0.2680 ,
고우다,adjective,0.0133 ,
고이다,adjective,0.0194 ,
고장나다,adjective,-0.0113 ,
고쳐다,adjective,0.0968 ,
고치다,adjective,0.1789 ,
고탄다,adjective,0.0242 ,
고프다,adjective,0.0314 ,
고하다,adjective,-0.0737 ,
고함지르다,adjective,-0.0737 ,
곤두박질치다,adjective,0.0121 ,
곤두서다,adjective,-0.0379 ,
곤두세우다,adjective,0.0424 ,
곤하다,adjective,0.0847 ,
곧다,adjective,0.0126 ,
곧추세우다,adjective,-0.0116 ,
골고다,adjective,-0.0737 ,
골골거리다,adjective,0.0242 ,
골골대다,adjective,0.0363 ,
골다,adjective,0.0593 ,
골라내다,adjective,0.0412 ,
골라잡다,adjective,-0.0737 ,
골르다,adjective,-0.0737 ,
골리다,adjective,-0.0221 ,
골병들다,adjective,0.0242 ,
골탕먹다,adjective,-0.0421 ,
골탕먹이다,adjective,-0.0189 ,
곪다,adjective,-0.0789 ,
곯다,adjective,0.0182 ,
곯아떨어지다,adjective,0.0605 ,
곰삭다,adjective,-0.0116 ,
곱다,adjective,0.0798 ,
곱디곱다,adjective,0.1089 ,
곱씹다,adjective,-0.0599 ,
곱하다,adjective,0.0666 ,
공굴리다,adjective,0.0242 ,
공들다,adjective,0.0121 ,
공들이다,adjective,-0.0143 ,
과다,adjective,0.1126 ,
과하다,adjective,-0.0640 ,
관계없다,adjective,-0.0789 ,
관두다,adjective,-0.0716 ,
관련짓다,adjective,0.0327 ,
관심없다,adjective,-0.0173 ,
관하다,adjective,-0.8033 ,
광내다,adjective,0.0242 ,
괜찮다,adjective,-0.6628 ,
괜하다,adjective,-0.0196 ,
괴다,adjective,-0.0200 ,
괴로워하다,adjective,-0.0305 ,
괴롭다,adjective,-0.1065 ,
괴롭히다,adjective,0.1480 ,
괴이다,adjective,0.0605 ,
교감다,adjective,0.0157 ,
구겨지다,adjective,-0.0863 ,
구기다,adjective,-0.0158 ,
구르다,adjective,-0.0298 ,
구리다,adjective,0.0246 ,
구멍나다,adjective,0.0242 ,
구부러지다,adjective,0.0460 ,
구부리다,adjective,0.0424 ,
구석지다,adjective,0.0230 ,
구성지다,adjective,0.0230 ,
구슬리다,adjective,0.0145 ,
구슬프다,adjective,0.0182 ,
구워삶다,adjective,-0.0221 ,
구질다,adjective,0.0242 ,
구피다,adjective,0.0242 ,
구하다,adjective,0.3492 ,
굳다,adjective,0.0559 ,
굳세다,adjective,-0.0337 ,
굳어지다,adjective,0.0168 ,
굳히다,adjective,-0.0937 ,
굴곡지다,adjective,-0.0600 ,
굴다,adjective,0.0341 ,
굴뚝같다,adjective,-0.0484 ,
굴러가다,adjective,-0.0162 ,
굴러다,adjective,-0.0421 ,
굴러다니다,adjective,0.0496 ,
굴러떨어지다,adjective,0.1089 ,
굴러오다,adjective,-0.0116 ,
굴리다,adjective,-0.0320 ,
굵다,adjective,0.0303 ,
굶기다,adjective,0.0169 ,
굶다,adjective,0.0337 ,
굶주리다,adjective,0.0172 ,
굼뜨다,adjective,0.0169 ,
굽니다,adjective,-0.0421 ,
굽다,adjective,0.0783 ,
굽신거리다,adjective,-0.0305 ,
굽실거리다,adjective,0.0484 ,
굽이치다,adjective,0.0121 ,
굽피다,adjective,0.0242 ,
굽히다,adjective,0.1102 ,
궁금해하다,adjective,0.0478 ,
궁상맞다,adjective,-0.0116 ,
궁시렁거리다,adjective,-0.0737 ,
궁시렁대다,adjective,0.0242 ,
궁하다,adjective,0.0121 ,
궂다,adjective,0.0642 ,
궃다,adjective,-0.0737 ,
권하다,adjective,0.3251 ,
귀기울이다,adjective,0.0186 ,
귀담다,adjective,0.0981 ,
귀담아듣다,adjective,0.0230 ,
귀먹다,adjective,-0.0737 ,
귀여워하다,adjective,-0.0263 ,
귀엽다,adjective,0.5038 ,
귀울이다,adjective,0.0133 ,
귀찬다,adjective,-0.0737 ,
귀찮다,adjective,0.0889 ,
귀하다,adjective,0.0989 ,
규정짓다,adjective,-0.0832 ,
규하다,adjective,-0.0421 ,
그늘지다,adjective,0.0363 ,
그라나다,adjective,0.0605 ,
그라다,adjective,-0.0411 ,
그러다,adjective,-0.3121 ,
그러모으다,adjective,-0.0305 ,
그러안다,adjective,-0.0421 ,
그러쥐다,adjective,0.0242 ,
그러하다,adjective,-0.0716 ,
그럴사하다,adjective,-0.0737 ,
그럴싸하다,adjective,-0.0215 ,
그럿다,adjective,-0.0737 ,
그렁거리다,adjective,0.0363 ,
그렁다,adjective,0.0847 ,
그렇다,adjective,-0.6346 ,
그려내다,adjective,-0.0116 ,
그려지다,adjective,0.0634 ,
그르다,adjective,-0.0335 ,
그르렁거리다,adjective,-0.0421 ,
그르치다,adjective,0.0460 ,
그릏다,adjective,-0.0189 ,
그리다,adjective,0.1132 ,
그리워지다,adjective,0.0823 ,
그리워하다,adjective,0.0484 ,
그리하다,adjective,0.0242 ,
그립다,adjective,0.1470 ,
그만두다,adjective,-0.0865 ,
그만하다,adjective,-0.0128 ,
그슬리다,adjective,-0.0421 ,
그어주다,adjective,0.0726 ,
그을다,adjective,-0.0379 ,
그을리다,adjective,-0.0221 ,
그지없다,adjective,-0.0229 ,
그치다,adjective,-0.0998 ,
극성맞다,adjective,-0.0421 ,
극하다,adjective,0.0130 ,
근질거리다,adjective,0.0133 ,
글다,adjective,-0.0116 ,
글썽거리다,adjective,0.0968 ,
글썽이다,adjective,0.0387 ,
긁다,adjective,0.0316 ,
긁어내다,adjective,-0.0263 ,
긁어모으다,adjective,-0.0337 ,
긁적거리다,adjective,0.0363 ,
